id,start,end,x_avg,y_avg,x_list,y_list,origin
"[14, 14]",21083052727,21083052727,517.708797454834,1013.4279012680054,"[517.708797454834, 517.708797454834]","[1013.4279012680054, 1013.4279012680054]","(-42.954566955566406, 119.18834686279297, 589.7308959960938)"
[36],21083236057,21083236057,753.3559226989746,299.96461272239685,[753.3559226989746],[299.96461272239685],"(-42.51353454589844, 126.68102264404297, 595.1940307617188)"
[37],21083244390,21083244390,755.8333969116211,277.19348073005676,[755.8333969116211],[277.19348073005676],"(-42.54861068725586, 126.88277435302734, 595.5040283203125)"
"[38, 39, 40]",21083252724,21083269391,766.2632369995117,294.88800168037415,"[759.8083305358887, 769.3935012817383, 769.5878791809082]","[293.68425607681274, 292.98210740089417, 297.9976415634155]","(-42.577789306640625, 127.07675170898438, 595.7595825195312)"
"[41, 45, 46, 50]",21083277724,21083352727,776.4628601074219,288.2709860801697,"[784.6298217773438, 765.2596092224121, 776.414680480957, 779.5473289489746]","[288.56568932533264, 288.3929193019867, 287.8102719783783, 288.3150637149811]","(-42.660362243652344, 127.51591491699219, 596.4622192382812)"
[52],21083369394,21083369394,767.1366119384766,298.4305679798126,[767.1366119384766],[298.4305679798126],"(-43.00039291381836, 127.82431030273438, 598.1911010742188)"
"[54, 55]",21083386060,21083394394,780.0040626525879,286.738720536232,"[773.518123626709, 786.4900016784668]","[284.01660919189453, 289.46083188056946]","(-43.04620361328125, 127.63066101074219, 598.3355712890625)"
[63],21083461061,21083461061,757.3362350463867,294.90049481391907,[757.3362350463867],[294.90049481391907],"(-43.021812438964844, 126.46187591552734, 599.1448364257812)"
[64],21083469395,21083469395,773.3010292053223,286.4926278591156,[773.3010292053223],[286.4926278591156],"(-42.98456573486328, 126.40199279785156, 599.2998046875)"
[65],21083477728,21083477728,761.8032073974609,295.4828202724457,[761.8032073974609],[295.4828202724457],"(-42.941959381103516, 126.37349700927734, 599.495849609375)"
"[66, 67]",21083486061,21083494395,777.1395206451416,293.88830959796906,"[785.6169891357422, 768.662052154541]","[292.04564094543457, 295.73097825050354]","(-42.86947250366211, 126.27354431152344, 599.4169311523438)"
[68],21083502728,21083502728,773.5929107666016,280.5718660354614,[773.5929107666016],[280.5718660354614],"(-42.725372314453125, 126.19607543945312, 599.7167358398438)"
"[73, 74]",21083544392,21083552725,564.0168857574463,261.99019253253937,"[564.495964050293, 563.5378074645996]","[260.4215741157532, 263.55881094932556]","(-42.71290588378906, 126.1726303100586, 600.8043823242188)"
"[75, 76, 77, 78]",21083561058,21083586058,572.4508237838745,268.00057142972946,"[570.3011512756348, 578.8655090332031, 568.7240982055664, 571.9125366210938]","[269.99003291130066, 270.1460659503937, 264.06041979789734, 267.8057670593262]","(-42.44842529296875, 126.15998077392578, 600.9425048828125)"
"[80, 81, 82, 83, 84]",21083602725,21083636058,580.1668853759766,261.35236859321594,"[585.9134674072266, 574.1201019287109, 587.882251739502, 576.0832786560059, 576.8353271484375]","[263.4148836135864, 262.8119766712189, 259.4363272190094, 264.1174256801605, 256.9812297821045]","(-41.78050231933594, 126.34919738769531, 601.3216552734375)"
[85],21083644392,21083644392,588.7835311889648,274.86700415611267,[588.7835311889648],[274.86700415611267],"(-41.23610305786133, 126.5557632446289, 601.64501953125)"
[86],21083652725,21083652725,584.3451690673828,262.41252422332764,[584.3451690673828],[262.41252422332764],"(-41.11896896362305, 126.63011169433594, 601.732666015625)"
[101],21083777724,21083777724,841.2762451171875,360.9090328216553,[841.2762451171875],[360.9090328216553],"(-39.8895378112793, 125.83760070800781, 600.828125)"
"[103, 104]",21083794392,21083802725,839.1543102264404,333.69213938713074,"[843.2089233398438, 835.0996971130371]","[331.1673045158386, 336.21697425842285]","(-39.875770568847656, 125.66525268554688, 600.5489501953125)"
"[111, 112, 113]",21083861056,21083877723,829.3118095397949,327.5208353996277,"[831.7427444458008, 822.2393417358398, 833.9533424377441]","[323.8774538040161, 328.01610231399536, 330.6689500808716]","(-39.62186050415039, 125.18327331542969, 600.2507934570312)"
[115],21083894389,21083894389,838.0393981933594,311.08381748199463,[838.0393981933594],[311.08381748199463],"(-39.431148529052734, 125.03260803222656, 600.434814453125)"
"[117, 118, 119, 120]",21083911056,21083936056,835.4609441757202,324.2604374885559,"[830.1969337463379, 832.1293830871582, 840.5723190307617, 838.945140838623]","[324.2736339569092, 327.5861978530884, 323.8627552986145, 321.3191628456116]","(-39.34271240234375, 124.9664535522461, 600.365966796875)"
