id,start,end,x_avg,y_avg,x_list,y_list,origin
"[13, 13]",20615539098,20615539098,420.6100845336914,298.57690930366516,"[420.6100845336914, 420.6100845336914]","[298.57690930366516, 298.57690930366516]","(-36.831275939941406, 59.52334213256836, 570.4654541015625)"
[18],20615580760,20615580760,410.2100086212158,302.47617959976196,[410.2100086212158],[302.47617959976196],"(-38.822776794433594, 59.73663330078125, 573.5321044921875)"
"[23, 24]",20615622425,20615630758,418.0287837982178,302.43022441864014,"[421.0822105407715, 414.97535705566406]","[303.8536548614502, 301.0067939758301]","(-40.7371826171875, 60.07108688354492, 576.4707641601562)"
"[26, 29]",20615647425,20615672425,416.1572599411011,296.2320953607559,"[417.4593257904053, 414.8551940917969]","[295.0369656085968, 297.42722511291504]","(-41.7847785949707, 60.33173370361328, 578.4663696289062)"
"[30, 31]",20615680758,20615689091,421.37153148651123,306.1712086200714,"[417.1824645996094, 425.5605983734131]","[301.82329416275024, 310.5191230773926]","(-43.05515670776367, 60.671531677246094, 581.057373046875)"
[38],20615747425,20615747425,403.2993793487549,283.9847803115845,[403.2993793487549],[283.9847803115845],"(-45.356117248535156, 61.41416931152344, 586.7647705078125)"
[41],20615772426,20615772426,393.74207496643066,301.7040967941284,[393.74207496643066],[301.7040967941284],"(-46.180992126464844, 61.68694305419922, 588.5061645507812)"
"[46, 47, 48, 49, 50]",20615814093,20615847426,408.64035987854004,297.68937706947327,"[404.3638229370117, 408.74173164367676, 406.7447090148926, 410.90392112731934, 412.4476146697998]","[297.747677564621, 297.9620039463043, 294.22874450683594, 297.5336015224457, 300.9748578071594]","(-47.58969497680664, 62.23878479003906, 592.634765625)"
[51],20615855759,20615855759,414.18660163879395,298.86653423309326,[414.18660163879395],[298.86653423309326],"(-48.95954513549805, 62.789642333984375, 597.0653076171875)"
[53],20615872426,20615872426,411.9976329803467,285.31349301338196,[411.9976329803467],[285.31349301338196],"(-49.4913444519043, 63.0063362121582, 598.9669189453125)"
[57],20615905757,20615905757,401.2332057952881,282.32452869415283,[401.2332057952881],[282.32452869415283],"(-50.47630310058594, 63.42543029785156, 602.992431640625)"
[58],20615914090,20615914090,424.43907737731934,284.7466707229614,[424.43907737731934],[284.7466707229614],"(-50.713768005371094, 63.5079345703125, 604.0057373046875)"
[60],20615930757,20615930757,420.4673480987549,292.2380805015564,[420.4673480987549],[292.2380805015564],"(-51.14525604248047, 63.64572525024414, 606.0697631835938)"
[65],20615972424,20615972424,423.4142875671387,298.07401299476624,[423.4142875671387],[298.07401299476624],"(-52.07622528076172, 63.83827590942383, 611.0397338867188)"
"[68, 69, 70, 71, 72]",20615997423,20616030755,417.6862735748291,285.0064945220947,"[419.8673915863037, 421.21376037597656, 411.0209655761719, 419.1602039337158, 417.16904640197754]","[283.19495916366577, 287.8816545009613, 281.0815215110779, 287.3169422149658, 285.55739521980286]","(-52.49609375, 63.92401123046875, 613.884521484375)"
"[73, 74, 75, 76]",20616039089,20616064089,423.4307599067688,286.12806648015976,"[418.8456630706787, 422.13443756103516, 424.24461364746094, 428.4983253479004]","[284.9424183368683, 284.39592719078064, 284.565407037735, 290.6085133552551]","(-52.9893798828125, 64.02141571044922, 618.424072265625)"
"[78, 82]",20616080755,20616114088,419.4992208480835,278.86252999305725,"[420.4585075378418, 418.5399341583252]","[277.95649766921997, 279.76856231689453]","(-53.4228401184082, 63.97751235961914, 622.4776611328125)"
[83],20616122422,20616122422,418.24859619140625,294.9524223804474,[418.24859619140625],[294.9524223804474],"(-53.881675720214844, 64.06491088867188, 625.86328125)"
[88],20616164090,20616164090,450.49315452575684,274.2712140083313,[450.49315452575684],[274.2712140083313],"(-54.314151763916016, 64.30005645751953, 628.76025390625)"
[89],20616172423,20616172423,456.1446189880371,289.04871940612793,[456.1446189880371],[289.04871940612793],"(-54.41566467285156, 64.30634307861328, 629.2529907226562)"
