id,start,end,x_avg,y_avg,x_list,y_list,origin
"[754, 754]",24782420463,24782420463,1000.8816146850586,355.4595708847046,"[1000.8816146850586, 1000.8816146850586]","[355.4595708847046, 355.4595708847046]","(-62.77970886230469, 76.2727279663086, 730.830322265625)"
[755],24782428796,24782428796,1019.1535949707031,375.1964807510376,[1019.1535949707031],[375.1964807510376],"(-63.3852424621582, 74.68609619140625, 733.1443481445312)"
"[756, 757, 758, 759]",24782437130,24782462130,1018.9613342285156,358.70463252067566,"[1009.1167831420898, 1018.9718627929688, 1022.5894546508789, 1025.167236328125]","[355.513858795166, 364.6257519721985, 358.0318093299866, 356.64710998535156]","(-63.985198974609375, 73.0390396118164, 735.3087158203125)"
[760],24782470463,24782470463,1016.0672378540039,363.50022554397583,[1016.0672378540039],[363.50022554397583],"(-66.53616333007812, 66.11760711669922, 743.7671508789062)"
"[761, 762, 763, 764, 765]",24782478796,24782512129,1015.9496612548828,353.7203049659729,"[1017.4357223510742, 1022.2091674804688, 1013.5930252075195, 1010.584602355957, 1015.9257888793945]","[349.7541904449463, 356.53685331344604, 353.6062002182007, 350.2267599105835, 358.477520942688]","(-67.24259948730469, 64.418212890625, 746.0030517578125)"
[766],24782520463,24782520463,1023.4492492675781,348.64944219589233,[1023.4492492675781],[348.64944219589233],"(-70.71878051757812, 55.722267150878906, 755.704345703125)"
"[767, 768, 769, 770, 771]",24782528796,24782562132,1018.4727401733398,350.9785008430481,"[1014.3950271606445, 1020.4272079467773, 1022.0479202270508, 1014.3500518798828, 1021.1434936523438]","[358.35256576538086, 350.01611709594727, 351.5145778656006, 348.19657802581787, 346.8126654624939]","(-71.37818908691406, 53.90675735473633, 757.3438110351562)"
"[772, 773, 774]",24782570463,24782587131,1025.1601028442383,338.0908131599426,"[1032.38525390625, 1018.7972259521484, 1024.2978286743164]","[345.2297329902649, 335.5715274810791, 333.4711790084839]","(-74.6246566772461, 44.04174041748047, 766.2344970703125)"
"[775, 776]",24782595465,24782603798,1020.7241821289062,345.7196295261383,"[1020.5596160888672, 1020.8887481689453]","[348.46222400665283, 342.9770350456238]","(-76.50675964355469, 37.70272445678711, 771.127685546875)"
[777],24782612131,24782612131,1016.9169616699219,332.79261589050293,[1016.9169616699219],[332.79261589050293],"(-77.70845031738281, 33.684288024902344, 774.2010498046875)"
[780],24782637129,24782637129,1110.512580871582,341.22705459594727,[1110.512580871582],[341.22705459594727],"(-79.15925598144531, 28.242919921875, 778.6890258789062)"
"[782, 783, 784]",24782653796,24782670463,1149.771385192871,337.87569999694824,"[1146.1820983886719, 1147.052879333496, 1156.0791778564453]","[333.0498218536377, 335.61222553253174, 344.9650526046753]","(-80.05412292480469, 24.961008071899414, 781.503662109375)"
[785],24782678796,24782678796,1159.0850830078125,324.0456819534302,[1159.0850830078125],[324.0456819534302],"(-81.27277374267578, 20.055267333984375, 785.4207763671875)"
"[786, 787, 788, 789, 790, 791, 792, 793, 794, 795]",24782687130,24782762129,1153.2255477905273,335.7935070991516,"[1164.9224853515625, 1169.8178100585938, 1156.5249252319336, 1165.733642578125, 1164.0536499023438, 1116.2006378173828, 1151.9942092895508, 1153.3945083618164, 1164.4120788574219, 1125.201530456543]","[343.5559272766113, 339.1848564147949, 335.637366771698, 342.6737308502197, 331.7855715751648, 328.51470708847046, 334.2715859413147, 339.66636657714844, 337.77544498443604, 324.8695135116577]","(-81.63752746582031, 18.402027130126953, 786.6883544921875)"
"[796, 797]",24782770461,24782778794,1138.549461364746,322.5326120853424,"[1126.1564254760742, 1150.942497253418]","[323.95312786102295, 321.11209630966187]","(-83.89105224609375, 3.0610477924346924, 796.541259765625)"
"[799, 803, 804, 805, 806, 807]",24782795461,24782862127,1128.285789489746,325.21971464157104,"[1118.8534927368164, 1114.8758697509766, 1119.737548828125, 1119.850959777832, 1154.9972534179688, 1141.3996124267578]","[328.77413034439087, 318.1194305419922, 324.844765663147, 320.2113747596741, 328.68722677230835, 330.6813597679138]","(-83.681640625, -0.6276226043701172, 798.6168823242188)"
[808],24782870461,24782870461,1123.0027770996094,304.0862202644348,[1123.0027770996094],[304.0862202644348],"(-80.22447204589844, -11.880413055419922, 802.043212890625)"
[809],24782878794,24782878794,1183.7753677368164,343.6068534851074,[1183.7753677368164],[343.6068534851074],"(-79.53376770019531, -12.959513664245605, 802.22314453125)"
[810],24782887127,24782887127,1251.5313720703125,345.1951503753662,[1251.5313720703125],[345.1951503753662],"(-78.61105346679688, -14.008293151855469, 802.389892578125)"
[812],24782903795,24782903795,1440.780258178711,358.7732434272766,[1440.780258178711],[358.7732434272766],"(-76.8160400390625, -15.939078330993652, 803.1011962890625)"
[813],24782912128,24782912128,1517.7988815307617,401.84837579727173,[1517.7988815307617],[401.84837579727173],"(-76.0217056274414, -16.76357650756836, 803.3831787109375)"
"[815, 816, 817, 818, 822, 823]",24782928795,24782995455,1567.0207023620605,385.1429224014282,"[1591.7044830322266, 1591.4570617675781, 1604.2080688476562, 1541.5782165527344, 1535.6919479370117, 1537.4844360351562]","[382.5229525566101, 390.17268419265747, 399.1947412490845, 380.74114322662354, 371.9833016395569, 386.24271154403687]","(-74.5279541015625, -18.353487014770508, 804.1671142578125)"
[824],24783003788,24783003788,1571.2334060668945,368.14584732055664,[1571.2334060668945],[368.14584732055664],"(-69.21780395507812, -23.277414321899414, 808.6409301757812)"
"[825, 826, 827, 828, 829, 830, 831, 832, 833, 834, 835, 836, 837, 838, 839]",24783012122,24783128785,1526.0585861206055,378.38915824890137,"[1558.0606842041016, 1539.6065139770508, 1545.1013946533203, 1525.9370040893555, 1525.733985900879, 1537.6655960083008, 1538.921241760254, 1556.9219970703125, 1500.0740432739258, 1495.8734893798828, 1549.2142868041992, 1534.6610641479492, 1502.9727172851562, 1497.447395324707, 1482.6873779296875]","[384.68374013900757, 376.0897636413574, 381.8947434425354, 380.95107078552246, 375.3759741783142, 365.82895517349243, 382.467520236969, 382.4200630187988, 381.34989738464355, 380.86445331573486, 383.126699924469, 382.94423818588257, 371.9892740249634, 373.9997148513794, 371.85126543045044]","(-68.7631607055664, -23.4117431640625, 809.164794921875)"
"[840, 841, 842, 843, 844, 845, 846, 847, 848, 849, 850, 851]",24783137119,24783228784,1495.0480842590332,373.9001899957657,"[1496.7594909667969, 1480.894889831543, 1462.7490234375, 1465.2051544189453, 1486.248435974121, 1488.8076782226562, 1484.139747619629, 1489.21875, 1514.673843383789, 1526.271858215332, 1523.1146621704102, 1522.4934768676758]","[386.4693760871887, 371.99918031692505, 361.51238679885864, 364.23901319503784, 370.4068064689636, 371.2805986404419, 365.6612277030945, 371.60271406173706, 382.3293685913086, 381.78874254226685, 377.7204751968384, 381.7923903465271]","(-63.93431854248047, -19.847097396850586, 811.29736328125)"
"[852, 853, 854, 855]",24783237126,24783262126,1518.510503768921,390.06308019161224,"[1524.0586853027344, 1532.383918762207, 1497.2561645507812, 1520.343246459961]","[392.9098606109619, 389.55599069595337, 388.06679248809814, 389.71967697143555]","(-60.13114929199219, -11.006023406982422, 800.3711547851562)"
[856],24783270459,24783270459,1491.4153289794922,399.72102642059326,[1491.4153289794922],[399.72102642059326],"(-58.51097869873047, -6.956295967102051, 793.9296875)"
[857],24783278793,24783278793,1536.9368362426758,380.9599041938782,[1536.9368362426758],[380.9599041938782],"(-58.16058349609375, -5.787942886352539, 792.2596435546875)"
"[858, 859]",24783287126,24783295458,1522.7594947814941,391.2947952747345,"[1523.4209060668945, 1522.0980834960938]","[394.7224974632263, 387.8670930862427]","(-57.731964111328125, -4.511465072631836, 790.2237548828125)"
[861],24783312125,24783312125,1404.7462463378906,383.4407687187195,[1404.7462463378906],[383.4407687187195],"(-56.40721893310547, -0.3437102437019348, 784.1650390625)"
"[865, 866, 867, 868]",24783345458,24783370458,1501.664342880249,325.1290440559387,"[1495.3114700317383, 1501.6838836669922, 1501.4674758911133, 1508.1945419311523]","[329.2613625526428, 330.7006001472473, 320.6172466278076, 319.93696689605713]","(-54.75889205932617, 5.984539985656738, 774.5443725585938)"
"[869, 870, 871, 872, 873]",24783378792,24783412122,1509.9951095581055,322.12368965148926,"[1505.914421081543, 1505.7599258422852, 1509.1564178466797, 1508.012466430664, 1521.1323165893555]","[311.3736033439636, 323.5911726951599, 325.85813999176025, 325.7243871688843, 324.0711450576782]","(-53.049278259277344, 12.313142776489258, 763.3090209960938)"
"[874, 875, 876]",24783420456,24783437125,1508.3406829833984,332.88819789886475,"[1516.966552734375, 1509.254150390625, 1498.8013458251953]","[332.80863761901855, 334.27172899246216, 331.5842270851135]","(-50.6422233581543, 20.520307540893555, 746.947998046875)"
"[877, 878, 879, 880]",24783445459,24783470459,1504.526195526123,343.34263801574707,"[1501.4713668823242, 1501.8024444580078, 1505.3584671020508, 1509.4725036621094]","[343.1381106376648, 333.64741802215576, 350.36823749542236, 346.21678590774536]","(-49.14606475830078, 25.594419479370117, 735.8914794921875)"
"[881, 882, 883, 884]",24783478793,24783503792,1504.0265464782715,351.36763751506805,"[1495.5939102172852, 1507.049674987793, 1506.49658203125, 1506.9660186767578]","[352.96175479888916, 350.9068250656128, 346.48414850234985, 355.1178216934204]","(-47.32780456542969, 31.743080139160156, 720.375244140625)"
"[885, 886, 887, 888]",24783512126,24783537125,1490.009365081787,359.9656641483307,"[1492.990493774414, 1481.2838745117188, 1486.6315841674805, 1499.1315078735352]","[357.75840282440186, 357.5263023376465, 363.09410333633423, 361.4838480949402]","(-45.714599609375, 37.04423904418945, 703.814697265625)"
"[889, 890, 891]",24783545459,24783562122,1494.826545715332,369.4698095321655,"[1498.0579376220703, 1490.878028869629, 1495.5436706542969]","[369.7802782058716, 367.03712940216064, 371.59202098846436]","(-44.217010498046875, 42.739986419677734, 686.9710693359375)"
[892],24783570455,24783570455,1496.7241287231445,381.074059009552,[1496.7241287231445],[381.074059009552],"(-43.1132926940918, 47.64149475097656, 674.1527099609375)"
[900],24783637124,24783637124,902.6833534240723,380.28284311294556,[902.6833534240723],[380.28284311294556],"(-41.293739318847656, 61.29938888549805, 640.470458984375)"
